stop_loss_pct,take_profit_pct,enable_trend_break_exit,market_open_delay_minutes,momentum_lookback_minutes,trade_count,total_pnl,return_pct,win_rate,avg_win,avg_loss,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,avg_bars_held,avg_mfe,avg_mae,exit_reasons
0.025,0.035,False,5,20,508,-14.41008508208962,-14.410085082089651,45.07874015748031,1.2062037908150642,-1.0416872873789942,0.950417893067127,-0.02836630921671185,-50.2200235598929,-0.39471609884615977,-0.6043973948348198,154.48622047244095,0.017878290358962965,-0.01654805680081159,"{'eod': 210, 'take_profit': 117, 'stop': 181}"
0.015,0.035,False,5,20,726,-15.4773433721879,-15.477343372187802,37.05234159779614,1.263417245292378,-0.7775417557020515,0.956443146749555,-0.021318654782627962,-47.19398154275741,-0.33816703359458766,-0.5853869092237121,108.40495867768595,0.015609210028655509,-0.012204325686845324,"{'stop': 381, 'eod': 217, 'take_profit': 128}"
0.015,0.035,False,30,20,576,-16.05177477385755,-16.05177477385754,38.36805555555556,1.2004342904925331,-0.7925288816132601,0.9429468527675974,-0.02786766453794713,-31.527507220648165,-0.41099178754310045,-0.7856001095289606,118.21354166666667,0.014515638995802117,-0.0117051747257561,"{'stop': 288, 'eod': 204, 'take_profit': 84}"
0.01,0.06,True,30,5,1669,-18.266318969270227,-18.266318969270266,15.098861593768722,1.1060112008682557,-0.20958443301910426,0.938493337079946,-0.010944469124787434,-31.030455000943263,-0.6665123192178031,-1.2109260545775278,37.29958058717795,0.008549262184660808,-0.004487847455297503,"{'trend_break': 1266, 'eod': 183, 'stop': 183, 'take_profit': 37}"
0.015,0.06,False,30,20,461,-18.504028225374743,-18.504028225374714,36.00867678958785,1.267144652771086,-0.7757628494419491,0.919143434809785,-0.04013888985981506,-36.96325031819968,-0.4341391408432964,-0.8073523307739718,146.68112798264642,0.016518258885907793,-0.011844888731381616,"{'stop': 239, 'eod': 198, 'take_profit': 24}"
0.015,0.06,True,5,5,1853,-20.610319152086078,-20.61031915208624,15.002698327037237,1.0847176161079148,-0.20454718503497551,0.9360249473991936,-0.011122676282831126,-38.51175875733272,-0.4978163506379619,-0.8467305682141433,36.82514840798705,0.009059301894915064,-0.0048320085594390156,"{'trend_break': 1523, 'eod': 190, 'stop': 89, 'take_profit': 51}"
0.015,0.06,True,5,10,1614,-20.852654029462713,-20.85265402946267,14.622057001239158,1.0515524143457637,-0.19522425530846368,0.9224863218454102,-0.012919859993471321,-54.16645971201185,-0.5392291965605346,-0.9981181971931297,36.56877323420074,0.009175865355778372,-0.0049894294830586765,"{'trend_break': 1335, 'eod': 160, 'stop': 73, 'take_profit': 46}"
0.015,0.06,True,30,5,1696,-21.363007810990144,-21.363007810990307,15.330188679245282,1.0994210992546172,-0.21393627689219402,0.930461787020908,-0.012596113096102679,-31.532815879380678,-0.7821274194286851,-1.2601311441938408,37.0748820754717,0.008650851710946058,-0.004688523970382392,"{'trend_break': 1398, 'eod': 184, 'stop': 73, 'take_profit': 41}"
0.015,0.035,True,5,10,2107,-21.391115116084563,-21.391115116084524,17.655434266729948,1.0004093994809125,-0.22682617390373722,0.9456448399874576,-0.010152403946883989,-44.44214140590996,-0.5910610159439056,-1.0238803760896913,29.981964878974846,0.00853442868152357,-0.005304581018002066,"{'trend_break': 1645, 'eod': 173, 'take_profit': 157, 'stop': 132}"
0.015,0.02,False,5,5,1067,-22.462076890778462,-22.462076890778604,43.95501405810684,0.9077752985692977,-0.7495128627421055,0.9498847806931894,-0.02105161845433783,-45.834223389070615,-0.9006656146715715,-1.4061661057351316,77.53514526710403,0.011959279639160748,-0.011155861100166569,"{'stop': 494, 'take_profit': 343, 'eod': 230}"
