entry_ts,exit_ts,symbol,qty,entry_price,exit_price,pnl,hold_sec,hold_min,exit_reason,trailed,entry_score,era,symbol_resolved
2026-03-20 14:56:42,2026-03-20 14:57:47,SPY,1.286277,647.8,647.761128,-0.05,64.9,1.08,trend_break,1,-0.000363,legacy,inferred_single_open
2026-03-20 14:58:48,2026-03-20 14:59:53,QQQ,1.433499,581.29,581.569038,0.4,65.1,1.08,trend_break,1,-0.000165,legacy,inferred_single_open
2026-03-20 15:00:54,2026-03-20 15:07:03,SPY,1.285047,648.42,647.6496,-0.99,369.1,6.15,trend_break,1,0.000136,legacy,inferred_single_open
2026-03-20 15:08:04,2026-03-20 15:09:08,VTI,2.603174,320.13,320.118476,-0.03,64.8,1.08,trend_break,1,0.000159,legacy,inferred_single_open
2026-03-20 15:10:09,2026-03-20 15:11:14,QQQ,1.433129,581.43,581.283467,-0.21,64.8,1.08,trend_break,1,8.9e-05,legacy,inferred_single_open
2026-03-20 15:20:14,2026-03-20 15:21:50,IWM,3.449882,241.55,241.509419,-0.14,95.9,1.6,candlestick_exit,1,0.000276,legacy,inferred_single_open
2026-03-20 15:22:51,2026-03-20 15:23:56,IWM,3.451025,241.455795,241.441307,-0.05,64.9,1.08,trend_break,1,0.000577,legacy,inferred_single_open
2026-03-20 15:24:56,2026-03-20 15:26:01,SPY,1.287728,647.12,646.987985,-0.17,64.8,1.08,trend_break,1,0.000228,legacy,inferred_single_open
2026-03-20 15:27:32,2026-03-20 15:28:37,IWM,3.455748,241.112638,241.161831,0.17,64.9,1.08,trend_break,1,-0.000585,legacy,inferred_single_open
2026-03-20 15:29:37,2026-03-20 15:30:42,QQQ,1.434709,580.79,580.79697,0.01,64.8,1.08,trend_break,1,-0.000958,legacy,inferred_single_open
2026-03-20 15:31:43,2026-03-20 15:32:48,QQQ,1.434857,580.75,580.513043,-0.34,64.9,1.08,trend_break,1,-0.000244,legacy,inferred_single_open
2026-03-20 15:33:49,2026-03-20 15:34:53,QQQ,1.435648,580.43,580.109587,-0.46,64.8,1.08,trend_break,1,-0.000456,legacy,inferred_single_open
2026-03-20 15:35:54,2026-03-20 15:36:59,QQQ,1.436687,579.99,579.440124,-0.79,65.0,1.08,trend_break,1,-0.000443,legacy,inferred_single_open
2026-03-20 15:49:48,2026-03-20 15:55:53,VTI,2.610269,319.26,320.340348,2.82,364.5,6.08,eod_flat,0,0.001551,legacy,inferred_single_open
2026-03-20 15:56:53,2026-03-20 15:57:56,IWM,3.446172,241.8,241.933481,0.46,62.5,1.04,eod_flat,0,0.003566,legacy,inferred_single_open
2026-03-20 15:58:56,2026-03-20 15:59:59,QQQ,1.432661,581.66,581.56228,-0.14,62.5,1.04,eod_flat,0,0.003538,legacy,inferred_single_open
2026-03-23 13:04:03,2026-03-23 13:10:37,SPY,1.271633,655.3,655.33932,0.05,394.0,6.57,trend_break,0,-0.00036,legacy,inferred_single_open
2026-03-23 13:11:40,2026-03-23 13:17:45,IWM,3.361099,247.94,247.550247,-1.31,365.7,6.09,trend_break,0,7.8e-05,legacy,inferred_single_open
2026-03-23 13:18:46,2026-03-23 13:20:49,IWM,3.363677,247.75,247.515138,-0.79,123.3,2.05,trend_break,0,0.000305,legacy,inferred_single_open
2026-03-23 13:23:51,2026-03-23 13:25:55,SPY,1.272371,654.86,655.543763,0.87,123.3,2.05,trend_break,0,-0.001025,legacy,inferred_single_open
2026-03-23 13:28:58,2026-03-23 13:37:36,QQQ,1.418612,587.36,589.799004,3.46,517.2,8.62,take_profit,0,-3.8e-05,legacy,inferred_single_open
2026-03-23 13:40:40,2026-03-23 13:45:45,IWM,3.345042,249.12,248.58488,-1.79,305.0,5.08,trend_break,0,0.006665,legacy,inferred_single_open
2026-03-23 13:46:46,2026-03-23 13:47:48,SPY,1.269231,656.57,656.467576,-0.13,62.7,1.04,trend_break,0,-0.000434,legacy,inferred_single_open
2026-03-23 13:49:50,2026-03-23 14:21:42,QQQ,1.416345,588.32,589.407306,1.54,1912.0,31.87,trend_break,0,-0.00041,legacy,inferred_single_open
2026-03-23 14:22:43,2026-03-23 14:23:45,SPY,1.267397,657.47,657.46211,-0.01,62.7,1.05,trend_break,0,-0.000389,legacy,inferred_single_open
2026-03-23 14:24:46,2026-03-23 14:57:37,QQQ,1.41375,589.45,590.680769,1.74,1971.3,32.86,trend_break,0,-0.000289,legacy,inferred_single_open
2026-03-23 15:00:40,2026-03-23 15:04:45,QQQ,1.410328,590.84,590.57765,-0.37,244.4,4.07,trend_break,0,-0.000204,legacy,inferred_single_open
2026-03-23 15:05:45,2026-03-23 15:15:54,QQQ,1.41071,590.66,590.461518,-0.28,608.5,10.14,trend_break,0,-0.00013,legacy,inferred_single_open
2026-03-25 11:21:48,2026-03-25 11:39:59,SPY,1.270527,655.84,656.918293,1.37,1090.3,18.17,trend_break,0,-0.000859,legacy,inferred_single_open
2026-03-25 11:40:59,2026-03-25 11:43:02,QQQ,1.417188,588.01,587.551345,-0.65,122.9,2.05,trend_break,0,-0.000839,legacy,inferred_single_open
2026-03-25 11:47:35,2026-03-25 12:19:55,IWM,3.31721,251.19,251.07846,-0.37,1940.4,32.34,trend_break,0,-0.000336,legacy,inferred_fifo
2026-03-25 12:08:18,2026-03-25 12:43:36,SPY,1.269173,656.57,658.153708,2.01,2118.6,35.31,trend_break,0,-0.000839,legacy,inferred_fifo
2026-03-25 12:46:39,2026-03-25 12:49:42,QQQ,1.414038,589.28,588.749604,-0.75,183.1,3.05,trend_break,0,-5.7e-05,legacy,inferred_single_open
2026-03-25 12:50:43,2026-03-25 12:51:45,QQQ,1.41519,588.8,588.588014,-0.3,62.5,1.04,trend_break,0,-0.000232,legacy,inferred_single_open
2026-03-25 12:52:46,2026-03-25 13:06:54,IWM,3.311936,251.61,251.712659,0.34,848.5,14.14,trend_break,0,-0.000903,legacy,inferred_single_open
2026-03-25 13:07:57,2026-03-25 13:10:00,SPY,1.267358,657.51,657.14704,-0.46,123.4,2.06,trend_break,0,-0.000658,legacy,inferred_single_open
2026-03-25 13:11:01,2026-03-25 13:12:03,QQQ,1.417116,588.03,588.121736,0.13,62.5,1.04,trend_break,0,-0.000729,legacy,inferred_single_open
2026-03-25 13:13:04,2026-03-25 13:18:40,SPY,1.267879,657.23,657.261549,0.04,336.2,5.6,trend_break,0,-0.000516,legacy,inferred_single_open
2026-03-25 13:19:41,2026-03-25 13:33:49,QQQ,1.417068,588.0,588.88916,1.26,848.1,14.13,trend_break,0,-5.4e-05,legacy,inferred_single_open
2026-03-25 13:34:50,2026-03-25 13:51:39,IWM,3.306023,252.06,251.875488,-0.61,1009.5,16.82,trend_break,0,0.000357,legacy,inferred_single_open
2026-03-25 13:52:41,2026-03-25 13:53:43,SPY,1.265991,658.19,657.637073,-0.7,62.5,1.04,trend_break,0,-0.000261,legacy,inferred_single_open
2026-03-25 13:54:44,2026-03-25 13:55:47,SPY,1.267011,657.72,657.483222,-0.3,62.5,1.04,trend_break,0,-0.002021,legacy,inferred_single_open
2026-03-25 13:56:48,2026-03-25 14:04:55,SPY,1.267339,657.51,657.770388,0.33,487.1,8.12,trend_break,0,-0.00087,legacy,inferred_single_open
